feed_rate,grinder_type,duty_cycle,unit_cost,score
265.10492,2.0,0.534574,59.47825,0.013232566
291.96228,2.0,0.2511128,57.773438,0.016947407
295.32275,0.0,1.0,141.40732,-6.099027e-05
278.5465,2.0,0.34826759,59.32348,0.016437842
445.24704,0.0,1.0,72.24966,0.011150346
271.50287,2.0,0.729748,142.02693,-5.5468787e-05
280.44745,2.0,0.38735464,59.376,0.016423302
405.05457,2.0,0.35902178,57.62177,0.016992014
394.15833,1.0,1.0,139.77727,-6.1162566e-05
459.8107,2.0,0.8740562,141.77888,-2.080455e-05
333.88824,2.0,0.84514105,140.44719,-2.1285063e-05
306.98517,2.0,0.76190203,141.97258,-5.588186e-05
185.14098,2.0,0.33564985,58.27186,0.016802449
112.630356,2.0,0.14328983,60.301212,0.016171318
279.3191,0.0,1.0,140.0634,-6.888438e-05
51.593132,1.0,1.0,147.20454,-3.2947322e-05
168.92697,1.0,1.0,141.12378,-3.4650402e-05
183.36067,2.0,0.40428075,58.32311,0.016787685
65.47903,2.0,0.94184154,144.5765,-2.0404404e-05
189.28525,0.0,1.0,142.07608,-3.477007e-05
142.60861,1.0,1.0,141.52255,-3.455277e-05
110.511894,2.0,0.3659433,59.080273,0.016572537
132.10303,2.0,0.27664092,60.10457,0.016224224
478.09668,0.0,1.0,62.840992,0.014621619
246.49483,2.0,0.25002816,59.398235,0.016417155
324.58868,1.0,1.0,140.08696,-7.0544236e-05
324.86993,0.0,1.0,140.45604,1.2403586e-05
462.86783,0.0,1.0,66.08945,0.0133123025
352.07016,1.0,1.0,139.99353,-7.0107904e-05
121.11605,1.0,1.0,143.36612,-3.382944e-05
219.74986,1.0,1.0,142.08754,-3.4133853e-05
309.12457,2.0,0.2039524,59.20429,0.016470935
476.52637,0.0,1.0,63.110146,0.014508084
189.1758,1.0,1.0,140.89252,-3.470728e-05
444.24518,0.0,1.0,72.70105,0.0110062715
270.74933,1.0,1.0,141.79182,-3.420504e-05
471.9592,1.0,1.0,135.69601,0.0004159617
246.72105,0.0,1.0,141.71233,-7.006176e-05
51.47289,2.0,0.74332833,144.0751,-2.0749832e-05
157.65878,2.0,0.2495156,59.8255,0.016299905
318.49146,2.0,0.37529984,57.75516,0.01695277
377.41266,0.0,1.0,123.19512,0.0015492586
262.01648,1.0,1.0,140.35612,-3.483992e-05
155.671,2.0,0.27652302,58.43506,0.016755521
438.61264,2.0,0.6067722,138.93492,2.8751016e-05
58.893005,2.0,0.3641427,60.75731,0.016115097
359.22122,2.0,0.5659375,57.762444,0.01369419
117.81642,0.0,1.0,143.02148,-3.454023e-05
82.90083,1.0,1.0,144.67918,-3.3522414e-05
50.785065,2.0,0.7115848,145.28795,-5.4697342e-05
497.6631,0.0,1.0,60.380142,0.015705368
238.84145,1.0,1.0,140.49132,-3.480639e-05
214.42654,0.0,1.0,140.43213,-3.5461515e-05
418.2321,1.0,1.0,139.38976,-3.2589265e-05
241.23615,0.0,1.0,140.26839,-7.110684e-05
74.68232,0.0,1.0,144.46765,-3.4194472e-05
393.29388,2.0,0.23932579,59.074688,0.01650707
212.4501,2.0,0.5419242,59.651485,0.013194138
82.32975,2.0,0.59084016,59.952198,0.013194007
384.56628,1.0,1.0,139.85088,-6.5459324e-05
239.12396,0.0,1.0,141.75087,-7.009119e-05
441.48236,1.0,1.0,138.33257,5.4792614e-05
81.85003,0.0,1.0,142.81158,-3.4871086e-05
98.49742,0.0,1.0,142.16115,-3.5030636e-05
471.82776,2.0,0.14613567,57.43683,0.017046725
87.08288,2.0,0.53673077,61.058624,0.012890068
275.09912,1.0,1.0,140.28989,-3.4856366e-05
57.860077,1.0,1.0,145.27142,-3.3661097e-05
260.25378,2.0,0.90315366,140.70625,-2.1249925e-05
221.94582,2.0,0.20490512,58.014812,0.016876897
