feed_rate,grinder_type,duty_cycle,unit_cost,protein_damage,score
139.39346,0.0,1.0,60.383507,0.0,0.016560813
257.28375,1.0,1.0,79.8753,0.12,0.012519515
303.38672,1.0,1.0,79.638885,0.12,0.01255668
320.0014,0.0,1.0,59.175827,0.0,0.016898792
111.41992,0.0,1.0,59.292137,0.0,0.016865643
242.10472,1.0,1.0,77.95179,0.12,0.012828442
244.10077,1.0,1.0,77.93754,0.12,0.012830788
318.73248,1.0,1.0,77.53296,0.12,0.012897741
489.23157,0.0,1.0,57.093494,0.0,0.01751513
238.1895,1.0,1.0,80.00003,0.12,0.0124999955
331.88956,2.0,0.091671675,67.52763,0.0,0.014808752
261.30603,1.0,1.0,77.82378,0.12,0.012849544
133.48746,1.0,1.0,81.31811,0.12,0.012297384
322.9287,2.0,0.43152565,75.452934,0.0,0.013253296
119.30447,2.0,0.46966106,75.72695,0.0,0.013205338
378.32962,1.0,1.0,79.37753,0.12,0.012598023
234.84349,2.0,0.35180226,74.88479,0.0,0.013353847
321.50528,1.0,1.0,79.564545,0.12,0.012568412
103.0941,2.0,0.2893367,74.60259,0.0,0.013404359
273.23932,0.0,1.0,59.33534,0.0,0.016853362
73.637634,2.0,0.08754581,74.04199,0.0,0.013505849
238.41237,2.0,0.41314378,71.73382,0.0,0.013940426
312.95493,0.0,1.0,59.19681,0.0,0.016892802
278.59662,1.0,1.0,79.756294,0.12,0.012538195
292.74152,2.0,0.27158296,72.08451,0.0,0.013872605
111.85282,1.0,1.0,79.980484,0.12,0.01250305
182.33788,0.0,1.0,59.879543,0.0,0.016700193
58.089615,1.0,1.0,85.210106,0.12,0.011735697
255.51283,1.0,1.0,79.88609,0.12,0.012517824
220.54733,2.0,0.09214346,67.386024,0.0,0.014839872
497.50708,1.0,1.0,79.1241,0.12,0.012638374
481.12787,2.0,0.43925446,72.839516,0.0,0.013728812
321.66245,2.0,0.16539465,64.376305,0.0,0.015533666
454.64743,2.0,0.1178164,75.331085,0.0,0.013274732
453.09476,0.0,1.0,58.902027,0.0,0.016977344
377.99854,1.0,1.0,79.37847,0.12,0.012597875
129.43892,2.0,0.3625343,79.62955,0.0,0.012558152
282.2752,2.0,0.051182743,71.26952,0.0,0.0140312435
204.73132,2.0,0.31360397,72.26058,0.0,0.013838803
239.43977,2.0,0.09645656,75.71064,0.0,0.0132081825
76.16373,1.0,1.0,81.74744,0.12,0.0122328
411.59445,0.0,1.0,58.96841,0.0,0.016958231
438.5665,2.0,0.29582846,65.48549,0.0,0.015270558
492.26343,1.0,1.0,79.132675,0.12,0.012637004
61.776115,0.0,1.0,61.58004,0.0,0.016239028
321.20605,0.0,1.0,57.43267,0.0,0.017411692
307.88092,2.0,0.48694873,76.69731,0.0,0.013038266
51.23674,2.0,0.3867985,73.91707,0.0,0.013528675
122.43564,0.0,1.0,60.67988,0.0,0.016479928
130.87506,1.0,1.0,81.37797,0.12,0.0122883385
234.13885,2.0,0.16473983,69.94178,0.0,0.0142976055
69.30545,0.0,1.0,62.54744,0.0,0.015987864
100.03399,0.0,1.0,61.225433,0.0,0.016333083
110.409256,1.0,1.0,81.944885,0.12,0.012203325
186.84346,1.0,1.0,80.46183,0.12,0.012428253
58.99715,1.0,1.0,85.10411,0.12,0.011750313
326.30295,1.0,1.0,77.50226,0.12,0.01290285
374.66678,2.0,0.12821421,75.91094,0.0,0.0131733315
243.78894,1.0,1.0,79.961426,0.12,0.01250603
410.5697,2.0,0.2460021,74.22914,0.0,0.013471798
468.2071,1.0,1.0,79.17445,0.12,0.012630337
64.83829,0.0,1.0,62.843952,0.0,0.01591243
476.64288,1.0,1.0,79.159325,0.12,0.01263275
373.9384,1.0,1.0,77.33759,0.12,0.0129303215
230.45837,2.0,0.25455856,69.66749,0.0,0.014353897
320.33777,1.0,1.0,77.52633,0.12,0.012898844
384.89218,1.0,1.0,77.30549,0.12,0.0129356915
451.70645,2.0,0.32412547,71.70244,0.0,0.013946528
61.358765,1.0,1.0,84.84299,0.12,0.011786478
124.73569,1.0,1.0,81.528496,0.12,0.01226565
152.202,1.0,1.0,80.9494,0.12,0.012353395
82.03917,2.0,0.1431211,67.604836,0.0,0.014791842
407.98697,1.0,1.0,77.243454,0.12,0.01294608
154.70561,0.0,1.0,58.49555,0.0,0.017095318
460.45245,2.0,0.21212804,66.22205,0.0,0.015100709
474.52908,0.0,1.0,57.113583,0.0,0.01750897
213.16122,2.0,0.43917173,71.589775,0.0,0.013968475
303.55048,0.0,1.0,59.226337,0.0,0.01688438
373.8703,2.0,0.16023281,72.911255,0.0,0.0137153035
64.491486,0.0,1.0,62.8687,0.0,0.015906166
178.6251,1.0,1.0,78.5709,0.12,0.012727357
374.6775,1.0,1.0,79.387856,0.12,0.012596386
438.7838,2.0,0.26272503,72.79685,0.0,0.013736858
144.051,2.0,0.42196783,77.52044,0.0,0.0128998235
192.8222,2.0,0.20846513,74.1172,0.0,0.013492144
228.4282,1.0,1.0,80.07184,0.12,0.012488786
339.18692,0.0,1.0,59.1231,0.0,0.016913863
129.37576,2.0,0.12964694,71.16108,0.0,0.014052626
121.86777,0.0,1.0,60.69123,0.0,0.016476845
463.07434,1.0,1.0,77.12047,0.12,0.012966726
485.7717,0.0,1.0,58.85775,0.0,0.016990116
145.97458,0.0,1.0,60.28705,0.0,0.016587311
438.84988,0.0,1.0,57.167927,0.0,0.017492326
144.33154,2.0,0.12310214,75.37037,0.0,0.013267813
265.7505,2.0,0.06584549,70.93899,0.0,0.0140966205
343.07874,0.0,1.0,59.11313,0.0,0.016916715
116.715355,1.0,1.0,81.749,0.12,0.012232565
74.537865,1.0,1.0,81.868225,0.12,0.012214752
106.370575,0.0,1.0,61.04781,0.0,0.016380604
218.17805,2.0,0.29324126,71.221375,0.0,0.014040729
226.2989,0.0,1.0,59.561775,0.0,0.016789291
97.889565,0.0,1.0,61.290745,0.0,0.016315676
228.02205,2.0,0.27474716,74.543076,0.0,0.013415062
230.91907,1.0,1.0,78.03618,0.12,0.012814569
359.65176,0.0,1.0,59.073067,0.0,0.016928189
100.36813,2.0,0.11141309,74.37722,0.0,0.013444977
193.13121,1.0,1.0,78.393555,0.12,0.01275615
317.276,0.0,1.0,59.183834,0.0,0.016896507
496.96393,2.0,0.4385268,71.6784,0.0,0.013951205
362.5942,2.0,0.28602555,62.531403,0.0,0.015991965
134.62198,0.0,1.0,60.45936,0.0,0.016540037
331.0192,2.0,0.28916785,74.39824,0.0,0.013441178
318.85977,2.0,0.28277433,69.33234,0.0,0.014423284
465.10846,2.0,0.35667408,72.15581,0.0,0.013858899
177.51434,2.0,0.34154058,76.214775,0.0,0.013120815
391.00513,0.0,1.0,59.006557,0.0,0.01694727
322.11542,1.0,1.0,79.56217,0.12,0.012568787
127.65062,0.0,1.0,58.93013,0.0,0.016969249
367.8735,2.0,0.41959456,71.140854,0.0,0.01405662
230.61243,1.0,1.0,80.05524,0.12,0.012491375
110.8701,1.0,1.0,81.92981,0.12,0.01220557
272.4192,0.0,1.0,57.609535,0.0,0.017358238
442.48395,2.0,0.35151935,75.04437,0.0,0.013325449
367.14185,1.0,1.0,77.358475,0.12,0.012926833
404.15933,0.0,1.0,57.229973,0.0,0.017473362
169.28851,2.0,0.24536602,72.62248,0.0,0.013769841
345.79193,1.0,1.0,79.477104,0.12,0.01258224
476.89285,1.0,1.0,79.15888,0.12,0.012632821
461.94104,0.0,1.0,58.889423,0.0,0.016980978
480.16028,2.0,0.14302252,70.87713,0.0,0.014108923
407.04294,0.0,1.0,57.22441,0.0,0.01747506
259.36536,1.0,1.0,77.83585,0.12,0.01284755
123.75231,1.0,1.0,81.554,0.12,0.012261814
68.858444,0.0,1.0,62.575386,0.0,0.015980724
365.5991,1.0,1.0,79.41438,0.12,0.012592177
419.9386,2.0,0.23969959,68.50427,0.0,0.01459763
95.67476,2.0,0.13212779,70.44101,0.0,0.014196276
443.5502,1.0,1.0,77.16057,0.12,0.012959987
181.69534,0.0,1.0,58.190968,0.0,0.017184798
195.5361,1.0,1.0,80.366585,0.12,0.012442982
70.6145,0.0,1.0,62.467667,0.0,0.016008282
386.86316,1.0,1.0,77.29991,0.12,0.012936626
370.66156,1.0,1.0,79.39944,0.12,0.012594548
332.47046,1.0,1.0,79.52347,0.12,0.012574904
125.98861,2.0,0.24263805,73.025154,0.0,0.013693911
483.74518,2.0,0.10707612,66.21946,0.0,0.015101301
219.48424,1.0,1.0,78.13133,0.12,0.012798962
402.29324,0.0,1.0,58.98516,0.0,0.016953416
440.69205,2.0,0.09521815,70.88488,0.0,0.014107381
168.61307,1.0,1.0,80.69345,0.12,0.01239258
219.67311,2.0,0.12528886,67.661934,0.0,0.01477936
274.89948,2.0,0.35291666,72.35167,0.0,0.01382138
195.77922,0.0,1.0,58.06537,0.0,0.017221969
462.30563,0.0,1.0,58.88892,0.0,0.016981123
81.99134,0.0,1.0,60.314007,0.0,0.016579896
343.0168,0.0,1.0,57.36988,0.0,0.017430749
315.35416,2.0,0.32581654,71.15852,0.0,0.01405313
318.32504,1.0,1.0,77.53464,0.12,0.012897462
217.94012,2.0,0.22968413,65.40402,0.0,0.015289579
448.66132,0.0,1.0,58.908535,0.0,0.016975468
282.761,2.0,0.3558392,72.19526,0.0,0.013851324
216.75618,2.0,0.13075984,71.21064,0.0,0.014042845
263.65454,1.0,1.0,79.83771,0.12,0.012525409
189.7449,0.0,1.0,58.1169,0.0,0.017206699
482.41293,2.0,0.32520524,82.04409,0.0,0.012188568
79.1842,2.0,0.22795095,73.83708,0.0,0.013543331
144.6606,0.0,1.0,58.63793,0.0,0.017053807
282.39642,0.0,1.0,59.299953,0.0,0.016863419
129.51695,2.0,0.39976805,70.19516,0.0,0.014245995
211.87552,0.0,1.0,59.651497,0.0,0.01676404
55.908867,1.0,1.0,85.47888,0.12,0.011698796
194.08592,0.0,1.0,59.78053,0.0,0.016727854
82.862045,1.0,1.0,81.29979,0.12,0.012300155
230.80441,2.0,0.071371816,77.108696,0.0,0.012968706
482.32437,2.0,0.38348016,73.99963,0.0,0.013513581
230.82185,0.0,1.0,59.535946,0.0,0.016796574
425.0604,2.0,0.19301485,67.64839,0.0,0.014782317
187.3743,2.0,0.40001056,73.25338,0.0,0.013651247
72.82068,1.0,1.0,82.00167,0.12,0.012194874
89.781044,1.0,1.0,82.77785,0.12,0.012080527
362.09525,1.0,1.0,77.37447,0.12,0.012924159
111.80786,2.0,0.12556694,79.01421,0.0,0.012655951
340.3284,0.0,1.0,57.37718,0.0,0.017428532
181.78084,2.0,0.27272734,75.95603,0.0,0.013165511
170.14844,1.0,1.0,78.68854,0.12,0.0127083305
297.05573,2.0,0.20263207,66.58446,0.0,0.01501852
345.1646,0.0,1.0,59.107872,0.0,0.01691822
66.13467,0.0,1.0,62.753788,0.0,0.015935292
235.55647,2.0,0.122115046,74.26875,0.0,0.013464613
374.49316,1.0,1.0,79.38839,0.12,0.012596301
433.00073,0.0,1.0,58.932587,0.0,0.01696854
264.82336,2.0,0.085155234,68.50897,0.0,0.014596629
355.14386,2.0,0.261976,67.88651,0.0,0.014730466
278.93512,1.0,1.0,79.75455,0.12,0.01253847
236.85396,2.0,0.46639246,68.391365,0.0,0.014621729
69.17709,1.0,1.0,82.30673,0.12,0.012149674
273.66058,1.0,1.0,77.7509,0.12,0.012861587
226.59644,0.0,1.0,59.56004,0.0,0.01678978
264.02905,0.0,1.0,57.646534,0.0,0.017347096
252.48985,1.0,1.0,77.88013,0.12,0.012840246
409.30588,2.0,0.23959541,70.49562,0.0,0.014185279
110.162674,0.0,1.0,60.95128,0.0,0.016406547
224.67503,0.0,1.0,57.856983,0.0,0.017283998
440.52344,2.0,0.2538123,67.35284,0.0,0.014847185
404.16092,2.0,0.42997652,74.78936,0.0,0.013370886
78.022,0.0,1.0,60.510826,0.0,0.016525969
225.41893,2.0,0.062996924,68.88522,0.0,0.014516901
202.5319,0.0,1.0,59.71644,0.0,0.016745808
76.65231,0.0,1.0,60.58348,0.0,0.016506149
367.06244,2.0,0.23124036,69.89288,0.0,0.014307609
396.73727,0.0,1.0,58.995544,0.0,0.016950432
