pulv_particle_size,pulv_temp,pulv_quality,mixer_particle_size,mixer_temp,mixer_quality
147.59152,39.458927,97.259155,237.02666,68.30472,77.1879
145.69048,35.45309,97.069046,230.11188,54.93938,94.488815
136.03455,38.710575,96.103455,329.0853,59.965626,84.59147
120.66726,33.314148,94.56673,311.30893,63.074738,80.219635
145.1937,34.464302,97.01937,305.1101,57.722046,86.98899
131.3219,35.946716,95.63219,312.58325,52.41433,86.24168
124.210236,34.962273,94.92102,444.8328,48.174118,73.01672
149.92447,33.709923,97.49245,225.89001,49.25341,94.910995
156.23703,34.59372,98.1237,192.62857,50.789192,98.237144
145.22107,40.33255,97.02211,310.69916,49.63758,86.430084
135.05017,36.65126,96.00502,171.71332,66.43559,86.80015
131.40836,38.900673,95.64084,241.12915,46.378014,93.387085
159.17778,38.071007,98.41778,230.35257,45.99906,94.464745
138.25943,34.295372,96.32594,273.08936,56.569057,90.19106
131.93481,33.794243,95.69348,312.53284,44.154587,86.24672
128.95703,32.781437,95.395706,249.41916,55.285492,92.55808
149.55038,38.20149,97.45504,250.99919,53.468426,92.40008
141.66965,37.599648,96.66696,309.26447,57.646515,86.573555
146.64584,34.427166,97.16458,310.64725,69.21684,68.00159
131.65968,35.07914,95.66597,189.72186,51.369835,98.52782
156.08191,35.150536,98.10819,199.86415,54.889843,97.51359
174.2125,36.478725,99.92125,154.47343,50.336098,97.94734
157.2636,31.777296,98.22636,298.44864,63.894867,79.8654
183.52673,37.312378,99.14732,269.85965,48.126945,90.51404
133.66534,35.228905,95.86653,454.70508,59.4935,72.029495
168.05923,34.720566,99.30592,294.22415,44.48296,88.07758
144.60126,35.36102,96.96013,338.60223,60.479576,82.680626
167.87727,33.351204,99.28773,235.73817,53.274967,93.926186
169.78442,34.62343,99.47844,313.94043,48.884872,86.10596
146.2507,33.789684,97.12507,152.19798,54.776688,97.719795
153.28043,36.197453,97.82804,186.58063,56.588043,98.841934
136.94714,35.115913,96.19472,308.80862,41.20015,86.61914
133.84023,34.937286,95.884026,364.91052,47.985626,81.00895
